UPC,Title,Price (£),Rating,Genre,Availability,Description
ce6396b0f23f6ecc,Set Me Free,17.46,5,Young Adult,In stock (19 available),In stock
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality,In stock (18 available),In stock
6be3beb0793a53e7,Sophie's World,15.94,5,Philosophy,In stock (18 available),In stock
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry,In stock (16 available),In stock
51653ef291ab7ddc,This One Summer,19.49,4,Sequential Art,In stock (16 available),In stock
709822d0b5bcb7f4,Thirst,17.27,5,Fiction,In stock (16 available),In stock
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art,In stock (16 available),In stock
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Fantasy,In stock (16 available),In stock
889139b8e9c4cb36,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Sequential Art,In stock (16 available),In stock
72f9d5be3472d34e,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Food and Drink,In stock (16 available),In stock
