UPC,Title,Price (£),Rating,Genre,Availability,Description
ce6396b0f23f6ecc,Set Me Free,17.46,5,Young Adult,In stock (19 available),No description
N/A,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Unknown,Unknown,No description
N/A,Sophie's World,15.94,5,Unknown,Unknown,No description
N/A,Untitled Collection: Sabbath Poems 2014,14.27,4,Unknown,Unknown,No description
N/A,This One Summer,19.49,4,Unknown,Unknown,No description
N/A,Thirst,17.27,5,Unknown,Unknown,No description
N/A,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Unknown,Unknown,No description
N/A,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Unknown,Unknown,No description
N/A,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Unknown,Unknown,No description
N/A,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Unknown,Unknown,No description
N/A,First and First (Five Boroughs #3),15.97,4,Unknown,Unknown,No description
N/A,Camp Midnight,17.08,4,Unknown,Unknown,No description
N/A,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,Unknown,Unknown,No description
N/A,The Stranger,17.44,4,Unknown,Unknown,No description
N/A,Something More Than This,16.24,4,Unknown,Unknown,No description
N/A,Poems That Make Grown Women Cry,14.19,4,Unknown,Unknown,No description
N/A,Dark Notes,19.19,5,Unknown,Unknown,No description
N/A,Batman: The Dark Knight Returns (Batman),15.38,5,Unknown,Unknown,No description
N/A,Agnostic: A Spirited Manifesto,12.51,5,Unknown,Unknown,No description
N/A,Walt Disney's Alice in Wonderland,12.96,5,Unknown,Unknown,No description
N/A,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Unknown,Unknown,No description
N/A,Old School (Diary of a Wimpy Kid #10),11.83,5,Unknown,Unknown,No description
N/A,Lady Midnight (The Dark Artifices #1),16.28,5,Unknown,Unknown,No description
N/A,I Am Pilgrim (Pilgrim #1),10.6,4,Unknown,Unknown,No description
N/A,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Unknown,Unknown,No description
N/A,Greek Mythic History,10.23,5,Unknown,Unknown,No description
N/A,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,Unknown,Unknown,No description
N/A,Eight Hundred Grapes,14.39,4,Unknown,Unknown,No description
N/A,Dear Mr. Knightley,11.21,5,Unknown,Unknown,No description
N/A,City of Fallen Angels (The Mortal Instruments #4),11.23,4,Unknown,Unknown,No description
N/A,The Epidemic (The Program 0.6),14.44,5,Unknown,Unknown,No description
N/A,One with You (Crossfire #5),15.71,4,Unknown,Unknown,No description
N/A,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,Unknown,Unknown,No description
N/A,"Mother, Can You Not?",16.89,5,Unknown,Unknown,No description
N/A,A Gentleman's Position (Society of Gentlemen #3),14.75,5,Unknown,Unknown,No description
N/A,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,Unknown,Unknown,No description
N/A,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,Unknown,Unknown,No description
N/A,Roller Girl,14.1,5,Unknown,Unknown,No description
N/A,History of Beauty,10.29,4,Unknown,Unknown,No description
N/A,The Origin of Species,10.01,4,Unknown,Unknown,No description
N/A,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,Unknown,Unknown,No description
N/A,Life of Pi,13.22,4,Unknown,Unknown,No description
N/A,Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,Unknown,Unknown,No description
N/A,Counted With the Stars (Out from Egypt #1),17.97,5,Unknown,Unknown,No description
N/A,The Hobbit (Middle-Earth Universe),17.8,5,Unknown,Unknown,No description
N/A,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,Unknown,Unknown,No description
N/A,Pride and Prejudice,19.27,4,Unknown,Unknown,No description
N/A,The Secret Garden,15.08,4,Unknown,Unknown,No description
N/A,The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,Unknown,Unknown,No description
N/A,The Darkest Corners,11.33,5,Unknown,Unknown,No description
N/A,Shiver (The Wolves of Mercy Falls #1),16.23,5,Unknown,Unknown,No description
N/A,Kill the Boy Band,15.52,5,Unknown,Unknown,No description
N/A,Booked,17.49,5,Unknown,Unknown,No description
N/A,An Abundance of Katherines,10.0,5,Unknown,Unknown,No description
N/A,A Feast for Crows (A Song of Ice and Fire #4),17.21,4,Unknown,Unknown,No description
N/A,The Gunning of America: Business and the Making of American Gun Culture,16.81,4,Unknown,Unknown,No description
N/A,Some Women,13.73,5,Unknown,Unknown,No description
N/A,Outlander (Outlander #1),19.67,5,Unknown,Unknown,No description
N/A,Night Shift (Night Shift #1-20),12.75,4,Unknown,Unknown,No description
N/A,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,Unknown,Unknown,No description
N/A,Scarlet (The Lunar Chronicles #2),14.57,4,Unknown,Unknown,No description
N/A,Running with Scissors,12.91,4,Unknown,Unknown,No description
N/A,Ready Player One,19.07,4,Unknown,Unknown,No description
N/A,Green Eggs and Ham (Beginner Books B-16),10.79,4,Unknown,Unknown,No description
N/A,Fifty Shades Freed (Fifty Shades #3),15.36,5,Unknown,Unknown,No description
N/A,Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,Unknown,Unknown,No description
N/A,A Visit from the Goon Squad,14.08,5,Unknown,Unknown,No description
N/A,New Moon (Twilight #2),12.86,4,Unknown,Unknown,No description
